owner,balance
ED9nck6gWdSL2dCeawemVUGE8Sc5RGkwjk5wugCb1Cav,2
33uRoxRqoakbV4QdRh6TsotZk5RyUDjR4nNPDsiSSvMn,2
A2xHTHERoPp8fHAqWiLH8ms2qzisSRRaD5Ag2dR5pFgf,2
4iiWqfDxfWV2Up1Yvoj7GX2BPzCgRzL48NqdG9rtfiaQ,2
CYQSrd9Tb9Zvsq2yyohLeHSs27KDYrGAUFkVN5dAcpji,2
8xJDBXic6Xdn8PBDgVvMtjz54rRKdxePzahVy8qbUXaf,2
BHRaqo4TkZdC8w7zWaXYyNex6jurdh1nyRNn22XYkMEo,2
FxxFpZct9CxW18mDmWVbMRwsH4b7Lo86Hbq77vMUTkDe,2
J9DgiUEneuqJFSpBfSyp6CssnXgJwh6jZMMvuny4aTLm,2
92EiJbqjZVBd75ETPxjoWiYLENNZ7j88ggG4QwVwfpZC,2
6XPLF1ezcWNhaA6HcKiq2bCoYYoMXJfD6NmEdsoYY6aH,2
2TTHDQ3Y8XVT42qHknugVUbE1BrrGoC2mrmhkKivVp6U,2
HRWB6mD4qyV4oXhgbniT6E3iuVqCsq42Cs8ZjLMZx8EK,2
G4Xm9CpTHcUFRQbu3rh3o6rR3KxZGw9xy74cYNehB7MX,2
FHd3UvduepBBzaTL3RF4v2a8LmfR4dAAFDqhVkGGAQku,2
H6TziN1BYBUsC3hArAfyUEumzXagRZcm55cHvrFPyxYC,2
9VhgFR6pVixuUHJUHA5YfRoUkxWJ5ouu41A1qSyiUkwR,2
61EVVQ8gtx1mTAu4XbC4yvk3Hr3AN6bYiYK6uGqQ6EY4,2
9iCDztfMAvmNoZ7ShqnYnDKteFiJQQ2MS2zyEydURDEA,2
hfmy8ZbJU4Zqh3Lwhqr1R5FJZwiHmkwtgsJt6xB5o9P,2
EZsmxZAzNebkJqyFMK7rdxjF8EeGfPBn4JSHn9ko7r4E,2
2YnpthiTUmEtckqRPMPwATczUjRdkh9rHEGkDsLgaspG,2
FWYgmSGi9v1MDv37JSyUmAN1yizS9TqUdLt7g1PddxMC,2
3YFLUyTbP9EW1EonAnqBVVtWL1HGJ68DakWnPB6gdKmz,2
EU66AHUXFobAUGYq4rWkhnXt65HTRTTQN3LzHmrMbVUj,2
E2U5upmhcmwJPuLc6MTqLXdJAryPEDJ5GfZUS9tHGYXJ,2
3j6Ab9PSY4PpBx4ox2F8Rk5wsJaSDisBPuR691RUJ5a7,2
jfPbRqqaF8wHdUxsBnEi1oQjKRgTNDNdFTHiG5kxJrp,2
6U67GHgqJHjjWUKTUY4d6S6JFb8UWMU2uEumADN87VtF,2
CyGHss4gztf3LWoDzvrBFmUcaQ6zBHTwzgP4sbTpPxmp,2
G6bXGQvo1fDctm45AUXwNPHkauBjD8jPRjP3pfSaURjX,2
5ggXWgD3ZAbmJrkDswc5z2Ayg2eQ1E8QNdnzDDxdMGwZ,2
BFhVMh2yGRMusPuhPK9mWuwhisbod8JkcYk8wBQMDABQ,2
HX6AtY9K6H7CaGyNdfG8gu17yHcvCZMXQmMMPhJ4gMsm,2
CtyEjjDTTQnX2g9ff6g2CzhVsyXKmggkaKhzkcnmxXp7,2
4EWfpA48V36Nw8sRzdEHSc77rALu1dDVg2rpGk6KjKWR,2
48jXGiaZUWkNj2A6rahe3kfWLVcVFdcKQGH7bw7UdUZg,2
C4SF6D6DcKAHeucJP3SKEebggVLRf7eRU7VjdRnkeaW3,2
6fRpZLQg5oxVHMxARC6BMh5smkgayLjfBy9rDJPzosNj,2
HZJyQn2RVQsCvetSVXrtJ5dxFkFUvx9CUA55BkGNGiwF,2
vKCC9ojFxmcaCgzp4nxAfZZzMHr1mUpRFuG26R17Ki1,2
FQHcaAoZhEMq9BfxWsEWch4KVxY9kPZbTjJciUhoDcT4,2
3b6cWCxt2S9heWF5oAWM3EJwdfCigDqngrCmNtdukF8S,2
J7AnfQXvzLdvSm7bQQdqmmuM881pMnBJ9sA1VmPxGADA,2
Ei5HvEkzL7RCmLbxqaPmebHQTdm9KBEoCg99xaNfh8ZB,2
GaMFvDZ94vLRv2hmySf36JhK846d6bt49PXXCdMd6vCv,2
